Dataset,nr,nc,nnz,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
c-48, 18354, 18354, 166080, 1.710784, 248.520450 , 6.119424, 69.477913, 1.195008, 355.784050
rajat22, 39899, 39899, 197264, 4.477952, 112.773839 , 6.734848, 74.982515, 1.669984, 302.395619
RFdevice, 74104, 74104, 365580, 3.091456, 302.732699 , 9.249792, 101.179009, 3.293056, 284.199478
HEP-th, 27240, 27240, 342437, 2.008064, 436.559147 , 6.998848, 125.254717, 2.376704, 368.846406
bundle1, 10581, 10581, 770901, 5.424320, 363.825600 , 6.964992, 283.346563, 3.721216, 530.339163
