Dataset,nr,nc,nnz,ASpT_time,ASpT_gflops
c-48, 18354, 18354, 166080 ,0.467968,908.533942
rajat22, 39899, 39899, 197264 ,0.576512,875.950298
RFdevice, 74104, 74104, 365580 ,1.290272,725.339155
HEP-th, 27240, 27240, 342437 ,0.686080,1277.750039
bundle1, 10581, 10581, 770901 ,0.772768,2553.814997
