Dataset,nr,nc,nnz,ASpT_time,ASpT_gflops
c-48, 18354, 18354, 166080 ,0.964480,440.822835
rajat22, 39899, 39899, 197264 ,2.126976,237.424323
RFdevice, 74104, 74104, 365580 ,3.513120,266.397054
HEP-th, 27240, 27240, 342437 ,1.423360,615.893889
bundle1, 10581, 10581, 770901 ,2.779136,710.115158
