Dataset,nr,nc,nnz,ASpT_time,ASpT_gflops
c-48, 18354, 18354, 166080 ,0.478176,222.284683
rajat22, 39899, 39899, 197264 ,0.534624,236.145337
RFdevice, 74104, 74104, 365580 ,0.601312,389.101177
HEP-th, 27240, 27240, 342437 ,0.534592,409.956923
bundle1, 10581, 10581, 770901 ,1.050624,469.603430
